data,produto,categoria,regiao,canal_venda,quantidade,preco_unitario,desconto_percentual,receita_bruta,receita_liquida
2023-11-24,Mouse,Eletrônicos,Sul,Online,1,120,0.05,120,114.0
2023-03-13,Webcam,Eletrônicos,Sudeste,Marketplace,2,420,0.15,840,714.0
2023-08-05,Notebook,Eletrônicos,Sul,Online,1,3500,0.0,3500,3500.0
2023-09-16,Curso Online,Educação,Sul,Marketplace,1,500,0.15,500,425.0
2023-11-29,Webcam,Eletrônicos,Centro-Oeste,Marketplace,7,420,0.0,2940,2940.0
2023-05-23,Notebook,Eletrônicos,Nordeste,Loja Física,3,3500,0.1,10500,9450.0
2023-03-21,Monitor,Eletrônicos,Sudeste,Loja Física,6,1100,0.0,6600,6600.0
2023-02-19,Cadeira Gamer,Móveis,Nordeste,Online,6,950,0.15,5700,4845.0
2023-08-24,Livro Técnico,Livros,Sudeste,Marketplace,2,200,0.1,400,360.0
2023-05-31,Fone Bluetooth,Eletrônicos,Sul,Marketplace,6,350,0.15,2100,1785.0
2023-02-05,Notebook,Eletrônicos,Sudeste,Online,4,3500,0.05,14000,13300.0
2023-02-21,Mesa Escritório,Móveis,Nordeste,Online,5,1400,0.1,7000,6300.0
2023-07-09,Cadeira Gamer,Móveis,Sudeste,Marketplace,4,950,0.05,3800,3610.0
2023-11-22,Teclado,Eletrônicos,Centro-Oeste,Loja Física,4,250,0.0,1000,1000.0
2023-05-19,Fone Bluetooth,Eletrônicos,Sudeste,Online,4,350,0.05,1400,1330.0
2023-01-17,Cadeira Gamer,Móveis,Sudeste,Online,7,950,0.05,6650,6317.5
2023-10-18,Webcam,Eletrônicos,Centro-Oeste,Loja Física,6,420,0.0,2520,2520.0
2023-11-26,Armário,Móveis,Sul,Online,3,1800,0.05,5400,5130.0
2023-10-15,Livro Técnico,Livros,Centro-Oeste,Marketplace,5,200,0.15,1000,850.0
2023-07-24,Cadeira Gamer,Móveis,Norte,Loja Física,4,950,0.0,3800,3800.0
2023-02-16,Notebook,Eletrônicos,Sul,Marketplace,2,3500,0.0,7000,7000.0
2023-08-05,Curso Online,Educação,Centro-Oeste,Marketplace,2,500,0.1,1000,900.0
2023-08-28,Livro Técnico,Livros,Sudeste,Marketplace,5,200,0.15,1000,850.0
2023-02-28,Fone Bluetooth,Eletrônicos,Sudeste,Loja Física,5,350,0.05,1750,1662.5
2023-08-11,Teclado,Eletrônicos,Nordeste,Marketplace,8,250,0.0,2000,2000.0
2023-04-02,Livro Técnico,Livros,Norte,Marketplace,2,200,0.05,400,380.0
2023-04-12,Teclado,Eletrônicos,Norte,Marketplace,6,250,0.0,1500,1500.0
2023-01-01,Curso Online,Educação,Sudeste,Online,6,500,0.1,3000,2700.0
2023-07-05,Smartphone,Eletrônicos,Sul,Marketplace,4,2800,0.0,11200,11200.0
2023-02-10,Mouse,Eletrônicos,Norte,Online,8,120,0.0,960,960.0
2023-03-07,Fone Bluetooth,Eletrônicos,Sul,Loja Física,8,350,0.15,2800,2380.0
2023-09-28,Curso Online,Educação,Norte,Marketplace,7,500,0.0,3500,3500.0
2023-12-20,Monitor,Eletrônicos,Nordeste,Loja Física,5,1100,0.1,5500,4950.0
2023-09-22,Armário,Móveis,Sul,Online,2,1800,0.0,3600,3600.0
2023-06-23,Notebook,Eletrônicos,Sul,Online,4,3500,0.15,14000,11900.0
2023-02-06,Webcam,Eletrônicos,Sudeste,Online,1,420,0.0,420,420.0
2023-06-19,Mouse,Eletrônicos,Centro-Oeste,Online,4,120,0.05,480,456.0
2023-10-04,Teclado,Eletrônicos,Centro-Oeste,Loja Física,8,250,0.0,2000,2000.0
2023-04-08,Mouse,Eletrônicos,Nordeste,Loja Física,2,120,0.1,240,216.0
2023-07-30,Armário,Móveis,Sudeste,Loja Física,1,1800,0.0,1800,1800.0
2023-06-23,Mouse,Eletrônicos,Sul,Marketplace,4,120,0.0,480,480.0
2023-08-18,Teclado,Eletrônicos,Nordeste,Loja Física,7,250,0.0,1750,1750.0
2023-05-08,Mouse,Eletrônicos,Sudeste,Online,8,120,0.15,960,816.0
2023-11-30,Livro Técnico,Livros,Sul,Online,1,200,0.0,200,200.0
2023-07-28,Armário,Móveis,Centro-Oeste,Online,8,1800,0.0,14400,14400.0
2023-03-26,Mesa Escritório,Móveis,Nordeste,Loja Física,1,1400,0.1,1400,1260.0
2023-05-27,Mesa Escritório,Móveis,Sul,Loja Física,8,1400,0.0,11200,11200.0
2023-04-22,Notebook,Eletrônicos,Sudeste,Online,1,3500,0.05,3500,3325.0
2023-10-27,Armário,Móveis,Norte,Online,3,1800,0.0,5400,5400.0
2023-04-06,Mouse,Eletrônicos,Centro-Oeste,Online,2,120,0.0,240,240.0
2023-10-19,Monitor,Eletrônicos,Sudeste,Loja Física,1,1100,0.15,1100,935.0
2023-12-03,Curso Online,Educação,Sul,Marketplace,6,500,0.05,3000,2850.0
2023-06-10,Monitor,Eletrônicos,Sul,Marketplace,5,1100,0.1,5500,4950.0
2023-11-27,Smartphone,Eletrônicos,Sudeste,Online,8,2800,0.05,22400,21280.0
2023-08-23,Curso Online,Educação,Norte,Online,2,500,0.0,1000,1000.0
2023-09-17,Smartphone,Eletrônicos,Sudeste,Online,3,2800,0.05,8400,7980.0
2023-07-09,Smartphone,Eletrônicos,Norte,Marketplace,3,2800,0.1,8400,7560.0
2023-06-04,Curso Online,Educação,Nordeste,Marketplace,1,500,0.15,500,425.0
2023-02-23,Teclado,Eletrônicos,Sudeste,Marketplace,5,250,0.0,1250,1250.0
2023-10-11,Teclado,Eletrônicos,Norte,Online,5,250,0.05,1250,1187.5
2023-06-25,Monitor,Eletrônicos,Centro-Oeste,Loja Física,5,1100,0.15,5500,4675.0
2023-01-27,Mouse,Eletrônicos,Sudeste,Online,7,120,0.05,840,798.0
2023-06-20,Teclado,Eletrônicos,Centro-Oeste,Marketplace,5,250,0.0,1250,1250.0
2023-12-28,Mesa Escritório,Móveis,Sudeste,Marketplace,1,1400,0.0,1400,1400.0
2023-03-18,Livro Técnico,Livros,Norte,Marketplace,1,200,0.05,200,190.0
2023-03-17,Mesa Escritório,Móveis,Nordeste,Loja Física,3,1400,0.0,4200,4200.0
2023-01-21,Cadeira Gamer,Móveis,Sudeste,Loja Física,4,950,0.0,3800,3800.0
2023-10-14,Mesa Escritório,Móveis,Sul,Online,3,1400,0.0,4200,4200.0
2023-07-31,Notebook,Eletrônicos,Centro-Oeste,Marketplace,3,3500,0.05,10500,9975.0
2023-05-08,Smartphone,Eletrônicos,Centro-Oeste,Online,3,2800,0.0,8400,8400.0
2023-08-29,Monitor,Eletrônicos,Nordeste,Loja Física,4,1100,0.1,4400,3960.0
2023-04-27,Monitor,Eletrônicos,Centro-Oeste,Loja Física,1,1100,0.0,1100,1100.0
2023-05-23,Mouse,Eletrônicos,Norte,Loja Física,5,120,0.05,600,570.0
2023-12-14,Livro Técnico,Livros,Sudeste,Loja Física,6,200,0.0,1200,1200.0
2023-04-02,Curso Online,Educação,Sudeste,Marketplace,5,500,0.0,2500,2500.0
2023-08-11,Cadeira Gamer,Móveis,Norte,Marketplace,6,950,0.1,5700,5130.0
2023-03-01,Mesa Escritório,Móveis,Sudeste,Marketplace,4,1400,0.05,5600,5320.0
2023-08-12,Notebook,Eletrônicos,Centro-Oeste,Online,4,3500,0.05,14000,13300.0
2023-12-07,Cadeira Gamer,Móveis,Nordeste,Marketplace,6,950,0.0,5700,5700.0
2023-06-08,Fone Bluetooth,Eletrônicos,Centro-Oeste,Marketplace,7,350,0.05,2450,2327.5
2023-06-01,Livro Técnico,Livros,Centro-Oeste,Marketplace,3,200,0.0,600,600.0
2023-07-14,Fone Bluetooth,Eletrônicos,Norte,Loja Física,3,350,0.15,1050,892.5
2023-07-27,Livro Técnico,Livros,Nordeste,Online,1,200,0.05,200,190.0
2023-08-09,Curso Online,Educação,Centro-Oeste,Loja Física,6,500,0.1,3000,2700.0
2023-12-12,Monitor,Eletrônicos,Sudeste,Loja Física,8,1100,0.0,8800,8800.0
2023-09-21,Fone Bluetooth,Eletrônicos,Sul,Marketplace,6,350,0.0,2100,2100.0
2023-06-08,Monitor,Eletrônicos,Sudeste,Online,4,1100,0.0,4400,4400.0
2023-05-06,Armário,Móveis,Centro-Oeste,Marketplace,2,1800,0.1,3600,3240.0
2023-10-22,Monitor,Eletrônicos,Centro-Oeste,Online,7,1100,0.1,7700,6930.0
2023-03-17,Fone Bluetooth,Eletrônicos,Centro-Oeste,Online,1,350,0.0,350,350.0
2023-04-01,Webcam,Eletrônicos,Norte,Online,8,420,0.0,3360,3360.0
2023-03-04,Armário,Móveis,Norte,Marketplace,3,1800,0.1,5400,4860.0
2023-11-01,Cadeira Gamer,Móveis,Norte,Loja Física,8,950,0.15,7600,6460.0
2023-10-08,Armário,Móveis,Centro-Oeste,Loja Física,3,1800,0.1,5400,4860.0
2023-05-07,Fone Bluetooth,Eletrônicos,Centro-Oeste,Marketplace,5,350,0.15,1750,1487.5
2023-05-03,Smartphone,Eletrônicos,Nordeste,Online,8,2800,0.0,22400,22400.0
2023-05-20,Cadeira Gamer,Móveis,Sudeste,Online,6,950,0.15,5700,4845.0
2023-03-19,Monitor,Eletrônicos,Sul,Online,7,1100,0.0,7700,7700.0
2023-08-01,Mesa Escritório,Móveis,Centro-Oeste,Loja Física,6,1400,0.15,8400,7140.0
2023-02-01,Monitor,Eletrônicos,Norte,Marketplace,7,1100,0.1,7700,6930.0
2023-01-11,Curso Online,Educação,Sudeste,Loja Física,7,500,0.1,3500,3150.0
2023-06-02,Mesa Escritório,Móveis,Norte,Marketplace,7,1400,0.15,9800,8330.0
2023-04-23,Armário,Móveis,Centro-Oeste,Loja Física,4,1800,0.05,7200,6840.0
2023-01-15,Mesa Escritório,Móveis,Sul,Loja Física,6,1400,0.1,8400,7560.0
2023-03-07,Curso Online,Educação,Norte,Marketplace,1,500,0.1,500,450.0
2023-12-06,Notebook,Eletrônicos,Sul,Loja Física,2,3500,0.1,7000,6300.0
2023-04-04,Notebook,Eletrônicos,Nordeste,Online,5,3500,0.1,17500,15750.0
2023-08-21,Cadeira Gamer,Móveis,Nordeste,Loja Física,6,950,0.1,5700,5130.0
2023-05-10,Mouse,Eletrônicos,Norte,Online,8,120,0.0,960,960.0
